model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,2069,0.18514851485148517,0.10891539144617325,Cui et al. [58] processed result
HTM,2077,0.18910891089108914,0.10966882980215259,Cui et al. [58] processed result
HTM,2086,0.18910891089108914,0.10966882980215259,Cui et al. [58] processed result
HTM,2094,0.1930693069306931,0.11186366286993889,Cui et al. [58] processed result
HTM,2102,0.1940594059405941,0.11255819002869158,Cui et al. [58] processed result
HTM,2110,0.19702970297029707,0.11396465398794617,Cui et al. [58] processed result
HTM,2119,0.19801980198019806,0.11461224656227946,Cui et al. [58] processed result
HTM,2127,0.203960396039604,0.11641139371642828,Cui et al. [58] processed result
HTM,2136,0.203960396039604,0.11641139371642828,Cui et al. [58] processed result
HTM,2144,0.203960396039604,0.11641139371642828,Cui et al. [58] processed result
HTM,2152,0.20693069306930695,0.11827021742174719,Cui et al. [58] processed result
HTM,2161,0.20891089108910893,0.12048736114492296,Cui et al. [58] processed result
HTM,2170,0.20693069306930695,0.11942498575600205,Cui et al. [58] processed result
HTM,2178,0.2118811881188119,0.1207920792079208,Cui et al. [58] processed result
HTM,2186,0.21782178217821785,0.12294781446554762,Cui et al. [58] processed result
HTM,2195,0.21980198019801983,0.12483102980177811,Cui et al. [58] processed result
HTM,2204,0.21881188118811884,0.12721520144880036,Cui et al. [58] processed result
HTM,2212,0.2237623762376238,0.129638711313528,Cui et al. [58] processed result
HTM,2221,0.2227722772277228,0.12758454412820514,Cui et al. [58] processed result
HTM,2230,0.2227722772277228,0.12873191024460096,Cui et al. [58] processed result
HTM,2239,0.22079207920792082,0.1270301274079788,Cui et al. [58] processed result
HTM,2247,0.22079207920792082,0.12848799853706944,Cui et al. [58] processed result
HTM,2255,0.22673267326732677,0.13048663564575802,Cui et al. [58] processed result
HTM,2264,0.22871287128712875,0.13257348102021266,Cui et al. [58] processed result
HTM,2273,0.22772277227722776,0.13097778767646487,Cui et al. [58] processed result
HTM,2281,0.22673267326732677,0.12874713938345048,Cui et al. [58] processed result
HTM,2289,0.2277227722772277,0.12954793848551388,Cui et al. [58] processed result
HTM,2297,0.2287128712871287,0.1283658688845323,Cui et al. [58] processed result
HTM,2306,0.22673267326732677,0.12682932576781353,Cui et al. [58] processed result
HTM,2314,0.22871287128712875,0.12912728412060062,Cui et al. [58] processed result
HTM,2323,0.22772277227722776,0.13187286269918758,Cui et al. [58] processed result
HTM,2332,0.22871287128712875,0.13382461853715497,Cui et al. [58] processed result
HTM,2341,0.22673267326732677,0.13056174019649458,Cui et al. [58] processed result
HTM,2350,0.2217821782178218,0.12750384183766533,Cui et al. [58] processed result
HTM,2359,0.21782178217821785,0.12500367605613172,Cui et al. [58] processed result
HTM,2367,0.21881188118811884,0.12729223621512428,Cui et al. [58] processed result
HTM,2376,0.21881188118811884,0.12729223621512428,Cui et al. [58] processed result
HTM,2385,0.21881188118811884,0.12729223621512428,Cui et al. [58] processed result
HTM,2394,0.21584158415841587,0.12490953495374384,Cui et al. [58] processed result
HTM,2402,0.21782178217821785,0.1277956657446539,Cui et al. [58] processed result
HTM,2411,0.21980198019801983,0.13036261853966566,Cui et al. [58] processed result
HTM,2419,0.21881188118811884,0.13033629671036587,Cui et al. [58] processed result
HTM,2427,0.22475247524752479,0.13195089288639286,Cui et al. [58] processed result
HTM,2435,0.22970297029702974,0.13559658071897024,Cui et al. [58] processed result
HTM,2443,0.22673267326732677,0.1322773759411039,Cui et al. [58] processed result
HTM,2451,0.23069306930693073,0.13416115594001296,Cui et al. [58] processed result
HTM,2459,0.2356435643564357,0.13588545318255654,Cui et al. [58] processed result
HTM,2467,0.23861386138613866,0.13586020136258783,Cui et al. [58] processed result
HTM,2476,0.24158415841584163,0.13734925254542446,Cui et al. [58] processed result
HTM,2485,0.24257425742574262,0.13933686970254525,Cui et al. [58] processed result
HTM,2494,0.2455445544554456,0.14181591500826835,Cui et al. [58] processed result
HTM,2503,0.24356435643564361,0.13975485139480306,Cui et al. [58] processed result
HTM,2511,0.24752475247524758,0.13840153469312122,Cui et al. [58] processed result
HTM,2519,0.25049504950495055,0.13833422996667347,Cui et al. [58] processed result
HTM,2528,0.24851485148514857,0.13643621836663467,Cui et al. [58] processed result
HTM,2537,0.24752475247524758,0.13575553664160483,Cui et al. [58] processed result
HTM,2546,0.24851485148514857,0.13557127509295752,Cui et al. [58] processed result
HTM,2554,0.2534653465346535,0.13402591096251656,Cui et al. [58] processed result
HTM,2562,0.26138613861386145,0.13641825465069177,Cui et al. [58] processed result
HTM,2571,0.26237623762376244,0.1362061038831446,Cui et al. [58] processed result
HTM,2580,0.26138613861386145,0.13677708070755742,Cui et al. [58] processed result
HTM,2588,0.25940594059405947,0.1337036976189687,Cui et al. [58] processed result
HTM,2597,0.2564356435643565,0.13286892621591115,Cui et al. [58] processed result
HTM,2606,0.2564356435643565,0.13175759082097382,Cui et al. [58] processed result
HTM,2615,0.2564356435643565,0.13011046259701067,Cui et al. [58] processed result
HTM,2624,0.2564356435643565,0.12874713938345048,Cui et al. [58] processed result
HTM,2633,0.2574257425742575,0.12748846418075147,Cui et al. [58] processed result
HTM,2642,0.2554455445544555,0.12356816445008076,Cui et al. [58] processed result
HTM,2651,0.2534653465346535,0.12454800153280307,Cui et al. [58] processed result
HTM,2660,0.25148514851485154,0.12296375997037642,Cui et al. [58] processed result
HTM,2668,0.25247524752475253,0.12248849348478788,Cui et al. [58] processed result
HTM,2677,0.2554455445544555,0.12317086368383355,Cui et al. [58] processed result
HTM,2686,0.2564356435643565,0.12194306365453339,Cui et al. [58] processed result
HTM,2695,0.2564356435643565,0.12137903165924753,Cui et al. [58] processed result
HTM,2704,0.2584158415841585,0.12081236641842442,Cui et al. [58] processed result
HTM,2713,0.26039603960396046,0.12037340198849453,Cui et al. [58] processed result
HTM,2722,0.26336633663366343,0.11758441852913681,Cui et al. [58] processed result
HTM,2731,0.2663366336633664,0.11507744927412188,Cui et al. [58] processed result
HTM,2739,0.2663366336633664,0.11550259276907505,Cui et al. [58] processed result
HTM,2747,0.2693069306930694,0.11476610004627408,Cui et al. [58] processed result
HTM,2755,0.27029702970297037,0.11623020199963853,Cui et al. [58] processed result
HTM,2763,0.27227722772277235,0.11767192400004667,Cui et al. [58] processed result
HTM,2772,0.2673267326732674,0.11588811792791708,Cui et al. [58] processed result
HTM,2781,0.26237623762376244,0.11429105327341779,Cui et al. [58] processed result
HTM,2789,0.2653465346534654,0.115362468622808,Cui et al. [58] processed result
HTM,2798,0.2663366336633663,0.1148216075853046,Cui et al. [58] processed result
HTM,2807,0.2673267326732673,0.11192936840445607,Cui et al. [58] processed result
HTM,2815,0.27524752475247527,0.11199941182082593,Cui et al. [58] processed result
HTM,2823,0.2821782178217822,0.11221364780913193,Cui et al. [58] processed result
HTM,2831,0.2811881188118812,0.11281916461975536,Cui et al. [58] processed result
HTM,2839,0.2841584158415842,0.10909525349825916,Cui et al. [58] processed result
HTM,2847,0.29405940594059404,0.10909525349825916,Cui et al. [58] processed result
HTM,2856,0.2950495049504951,0.10889288780093086,Cui et al. [58] processed result
HTM,2864,0.302970297029703,0.10802520156028401,Cui et al. [58] processed result
HTM,2872,0.30891089108910896,0.1064344922802114,Cui et al. [58] processed result
HTM,2881,0.30990099009900995,0.10764794285093986,Cui et al. [58] processed result
HTM,2890,0.30891089108910896,0.10671044424005925,Cui et al. [58] processed result
HTM,2898,0.31188118811881194,0.10320327793634365,Cui et al. [58] processed result
HTM,2907,0.3148514851485149,0.10297029702970298,Cui et al. [58] processed result
HTM,2916,0.31188118811881194,0.10109196958743633,Cui et al. [58] processed result
HTM,2925,0.31089108910891095,0.09981848048418661,Cui et al. [58] processed result
HTM,2934,0.30990099009900995,0.09901485136139233,Cui et al. [58] processed result
HTM,2943,0.306930693069307,0.09465677942746234,Cui et al. [58] processed result
HTM,2952,0.30792079207920797,0.0945998025105538,Cui et al. [58] processed result
HTM,2961,0.303960396039604,0.0937253055409019,Cui et al. [58] processed result
HTM,2970,0.29900990099009905,0.09222281997778231,Cui et al. [58] processed result
HTM,2979,0.2940594059405941,0.08988114231117912,Cui et al. [58] processed result
