poems,title,author,goal_based,contextual,contextual_single,goal_line,contextual_line,feedback_character
1000,复合记忆试验0332,synthetic-stress,0,14,11,0,3,0
1000,复合记忆试验0333,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0334,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0335,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0336,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0337,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0338,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0339,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0340,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0341,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0342,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0343,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0344,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0345,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0346,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0347,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0348,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0349,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0350,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0351,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0352,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0353,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0354,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0355,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0356,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0357,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0358,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0359,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0360,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0361,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0362,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0363,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0364,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0365,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0366,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0367,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0368,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0369,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0370,synthetic-stress,0,13,14,0,3,0
1000,复合记忆试验0371,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0372,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0373,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0374,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0375,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0376,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0377,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0378,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0379,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0380,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0381,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0382,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0383,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0384,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0385,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0386,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0387,synthetic-stress,0,13,14,0,3,0
1000,复合记忆试验0388,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0389,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0390,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0391,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0392,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0393,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0394,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0395,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0396,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0397,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0398,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0399,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0400,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0401,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0402,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0403,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0404,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0405,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0406,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0407,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0408,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0409,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0410,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0411,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0412,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0413,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0414,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0415,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0416,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0417,synthetic-stress,0,15,14,0,3,0
