prediction_index,records_seen,timestamp,anchor_semantics,rolling_window,cumulative_standard_mape,cumulative_repo_metric,cumulative_wape,rolling_standard_mape,rolling_repo_metric,rolling_wape
253,452,2014-07-10 12:30:00,predict_before_observe,50,1.1597206875376138,0.5585346964999361,0.5585346964999361,1.1911737952914414,0.5585600661616624,0.5585600661616624
253,452,2014-07-10 12:30:00,predict_before_observe,100,1.1597206875376138,0.5585346964999361,0.5585346964999361,1.045185650747505,0.5367275686589523,0.5367275686589523
254,453,2014-07-10 13:00:00,predict_before_observe,25,1.1567017122073961,0.5577080953023967,0.5577080953023967,1.996086015007271,0.847195692134771,0.847195692134771
254,453,2014-07-10 13:00:00,predict_before_observe,50,1.1567017122073961,0.5577080953023967,0.5577080953023967,1.1934453759957406,0.5613940026817267,0.5613940026817267
254,453,2014-07-10 13:00:00,predict_before_observe,100,1.1567017122073961,0.5577080953023967,0.5577080953023967,1.0477895339748275,0.5393140679108871,0.5393140679108871
255,454,2014-07-10 13:30:00,predict_before_observe,25,1.1551303397294668,0.5587592554703155,0.5587592554703155,1.9845477725339313,0.8359039412602203,0.8359039412602203
255,454,2014-07-10 13:30:00,predict_before_observe,50,1.1551303397294668,0.5587592554703155,0.5587592554703155,1.1978788260727655,0.5664708117368976,0.5664708117368976
255,454,2014-07-10 13:30:00,predict_before_observe,100,1.1551303397294668,0.5587592554703155,0.5587592554703155,1.0516800930480799,0.5437579333922558,0.5437579333922558
256,455,2014-07-10 14:00:00,predict_before_observe,25,1.152710794233948,0.5586387505338307,0.5586387505338307,1.9958027475217133,0.8307849851582397,0.8307849851582397
256,455,2014-07-10 14:00:00,predict_before_observe,50,1.152710794233948,0.5586387505338307,0.5586387505338307,1.1954308240020637,0.5636838601776419,0.5636838601776419
256,455,2014-07-10 14:00:00,predict_before_observe,100,1.152710794233948,0.5586387505338307,0.5586387505338307,1.0541870160006748,0.5466527054033362,0.5466527054033362
257,456,2014-07-10 14:30:00,predict_before_observe,25,1.1493802856948656,0.5572455260508292,0.5572455260508292,1.8565337377279827,0.7531813817912179,0.7531813817912179
257,456,2014-07-10 14:30:00,predict_before_observe,50,1.1493802856948656,0.5572455260508292,0.5572455260508292,1.197886366946983,0.5665347089479624,0.5665347089479624
257,456,2014-07-10 14:30:00,predict_before_observe,100,1.1493802856948656,0.5572455260508292,0.5572455260508292,1.0558364996698202,0.5484753664909752,0.5484753664909752
258,457,2014-07-10 15:00:00,predict_before_observe,25,1.1470091553482684,0.5571471390396183,0.5571471390396183,1.8019734420108569,0.7281296776015412,0.7281296776015412
258,457,2014-07-10 15:00:00,predict_before_observe,50,1.1470091553482684,0.5571471390396183,0.5571471390396183,1.1950265269219706,0.5632429591359922,0.5632429591359922
258,457,2014-07-10 15:00:00,predict_before_observe,100,1.1470091553482684,0.5571471390396183,0.5571471390396183,1.057169412222749,0.5499954743404847,0.5499954743404847
259,458,2014-07-10 15:30:00,predict_before_observe,25,1.143339084653402,0.5554298753898359,0.5554298753898359,1.8094605563848867,0.7099736766538374,0.7099736766538374
259,458,2014-07-10 15:30:00,predict_before_observe,50,1.143339084653402,0.5554298753898359,0.5554298753898359,1.190437235194528,0.5587217977738341,0.5587217977738341
259,458,2014-07-10 15:30:00,predict_before_observe,100,1.143339084653402,0.5554298753898359,0.5554298753898359,1.0573552277613596,0.5506001860249258,0.5506001860249258
260,459,2014-07-10 16:00:00,predict_before_observe,25,1.1391401324159578,0.5533240032353292,0.5533240032353292,1.5455454071740065,0.635281762797714,0.635281762797714
260,459,2014-07-10 16:00:00,predict_before_observe,50,1.1391401324159578,0.5533240032353292,0.5533240032353292,1.1872078757281388,0.5572422569209465,0.5572422569209465
260,459,2014-07-10 16:00:00,predict_before_observe,100,1.1391401324159578,0.5533240032353292,0.5533240032353292,1.0503918766483769,0.5435028366536268,0.5435028366536268
261,460,2014-07-10 16:30:00,predict_before_observe,25,1.1356455620718813,0.5520692297721627,0.5520692297721627,1.2367311185194387,0.5664345778486451,0.5664345778486451
261,460,2014-07-10 16:30:00,predict_before_observe,50,1.1356455620718813,0.5520692297721627,0.5520692297721627,1.1901856350450388,0.5621292989212173,0.5621292989212173
261,460,2014-07-10 16:30:00,predict_before_observe,100,1.1356455620718813,0.5520692297721627,0.5520692297721627,1.0519572947335234,0.5465281934918726,0.5465281934918726
262,461,2014-07-10 17:00:00,predict_before_observe,25,1.1346601993939887,0.5535602845552755,0.5535602845552755,0.8382251271962915,0.5126729729178331,0.5126729729178331
262,461,2014-07-10 17:00:00,predict_before_observe,50,1.1346601993939887,0.5535602845552755,0.5535602845552755,1.1949370186574089,0.5671594653974517,0.5671594653974517
262,461,2014-07-10 17:00:00,predict_before_observe,100,1.1346601993939887,0.5535602845552755,0.5535602845552755,1.058344610543766,0.5536828103012741,0.5536828103012741
263,462,2014-07-10 17:30:00,predict_before_observe,25,1.1321009530424784,0.5530674252473085,0.5530674252473085,0.5800190727127884,0.4673951471983212,0.4673951471983212
263,462,2014-07-10 17:30:00,predict_before_observe,50,1.1321009530424784,0.5530674252473085,0.5530674252473085,1.1955281675709264,0.567227329191013,0.567227329191013
263,462,2014-07-10 17:30:00,predict_before_observe,100,1.1321009530424784,0.5530674252473085,0.5530674252473085,1.05820243374548,0.5534616919275891,0.5534616919275891
264,463,2014-07-10 18:00:00,predict_before_observe,25,1.1292883113005452,0.5520733127085414,0.5520733127085414,0.5019548182215998,0.4436899280615334,0.4436899280615334
264,463,2014-07-10 18:00:00,predict_before_observe,50,1.1292883113005452,0.5520733127085414,0.5520733127085414,1.199170567925174,0.5700805672635029,0.5700805672635029
264,463,2014-07-10 18:00:00,predict_before_observe,100,1.1292883113005452,0.5520733127085414,0.5520733127085414,1.059319825091596,0.5539866489312203,0.5539866489312203
265,464,2014-07-10 18:30:00,predict_before_observe,25,1.1254041452721217,0.549033148761034,0.549033148761034,0.42954771169353245,0.4027829989036319,0.4027829989036319
265,464,2014-07-10 18:30:00,predict_before_observe,50,1.1254041452721217,0.549033148761034,0.549033148761034,1.1927763595646343,0.5594500997831248,0.5594500997831248
265,464,2014-07-10 18:30:00,predict_before_observe,100,1.1254041452721217,0.549033148761034,0.549033148761034,1.0593269246743104,0.5513011026505281,0.5513011026505281
266,465,2014-07-10 19:00:00,predict_before_observe,25,1.1213271549756307,0.5453845729326312,0.5453845729326312,0.3641352096616975,0.35074140318884833,0.35074140318884833
