script,line,option,aliases,default,paper_facing,diagnostic,legacy,duplicated,silent_override_risk,future_config_group
experiments/diagnostics/fig7_nonpaper_baselines.py,459,--task,--task,'single',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,460,--models,--models,"['snn', 'htm', 'tdnn', 'lstm', 'elm']",False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,461,--trials,--trials,10,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,462,--seed,--seed,200,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,463,--max-elements,--max-elements,20000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,464,--context-length,--context-length,7,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,465,--modify-after-elements,--modify-after-elements,10000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,466,--report-every,--report-every,250,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_nonpaper_baselines.py,467,--output-dir,--output-dir,'results/diagnostics/fig7_nonpaper_baselines',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_prediction_trace.py,20,--elements,--elements,3000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_prediction_trace.py,21,--seed,--seed,7,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,447,--data,--data,'data/CBTest/data/cbt_train.txt',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,448,--num-sentences,--num-sentences,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,449,--seed,--seed,11,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,450,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig8_branch_coherence.py,451,--neural-selection,--neural-selection,"('raw',)",False,True,False,False,LOW,DiagnosticConfig
