path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/fig9_diagnostics/l2_stack_component_250_20260810,l2_stack_component_250_20260810,20303632,2026-08-10T18:48:20.189211,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_250_20260810/250,250,20285721,2026-08-10T18:48:08.818759,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_250_20260810/250/P1_SELECTOR_ONLY_L2,P1_SELECTOR_ONLY_L2,9691264,2026-08-10T18:42:25.820720,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_250_20260810/250/P2_COMPETITION_ONLY_L2,P2_COMPETITION_ONLY_L2,10594457,2026-08-10T18:48:08.818759,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_500_20260810,l2_stack_component_500_20260810,42198429,2026-08-11T01:48:22.803020,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_500_20260810/500,500,42158114,2026-08-11T01:33:36.082904,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_500_20260810/500/P1_SELECTOR_ONLY_L2,P1_SELECTOR_ONLY_L2,17725452,2026-08-11T01:00:15.425882,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_stack_component_500_20260810/500/P2_COMPETITION_ONLY_L2,P2_COMPETITION_ONLY_L2,24432662,2026-08-11T01:33:36.082904,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l4_ambiguity_smoke20_20260810,l4_ambiguity_smoke20_20260810,305988,2026-08-10T09:32:21.219785,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/lineage_smoke20_20260807_off,lineage_smoke20_20260807_off,1478585,2026-08-08T07:37:57.284327,Fig9,,True,True,False,True,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/lineage_smoke20_20260807_on,lineage_smoke20_20260807_on,8612989,2026-08-08T07:38:18.857838,Fig9,,True,True,False,True,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/lmatch_ablation_250_20260801_144411,lmatch_ablation_250_20260801_144411,11905859,2026-08-01T14:51:27.803282,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260801_144411/L4_20260801_144411_472,L4_20260801_144411_472,6872051,2026-08-01T14:51:27.803282,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260801_144411/lmatch_ablation_250_20260801_143348,lmatch_ablation_250_20260801_143348,5033808,2026-08-01T14:37:05.312265,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260801_144411/lmatch_ablation_250_20260801_143348/L4_20260801_143348_629,L4_20260801_143348_629,5033808,2026-08-01T14:37:05.312265,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/lmatch_ablation_250_20260802_012853,lmatch_ablation_250_20260802_012853,57531525,2026-08-02T01:35:37.369748,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
