field,record_range,observe_scenario,counterfactual_L_match,columns,columns_with_any_passing_segment_rate,mean_passing_segment_count,mean_passing_neuron_count,mean_best_passing_overlap,selected_segment_compatibility_rate,teacher_reference_neuron_availability_rate,teacher_reference_segment_availability_rate
weekday,200-244,scenario2,3,381,1.0,1.020997375328084,1.020997375328084,20.06824146981627,1.0,1.0,1.0
weekday,200-244,scenario2,4,381,1.0,1.005249343832021,1.005249343832021,20.06824146981627,1.0,1.0,1.0
weekday,200-244,scenario3,1,8,0.625,0.625,0.625,1.125,0.0,0.0,0.0
weekday,200-244,scenario3,2,8,0.375,0.375,0.375,0.875,0.0,0.0,0.0
weekday,200-244,scenario3,3,8,0.125,0.125,0.125,0.375,0.0,0.0,0.0
weekday,200-244,scenario3,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekday,50-99,scenario1,1,79,1.0,1.5696202531645569,1.5696202531645569,16.531645569620252,0.9873417721518988,0.9873417721518988,0.9873417721518988
weekday,50-99,scenario1,2,79,1.0,1.2658227848101267,1.2658227848101267,16.531645569620252,0.9620253164556962,0.9620253164556962,0.9620253164556962
weekday,50-99,scenario1,3,79,1.0,1.1265822784810127,1.1265822784810127,16.531645569620252,0.8860759493670886,0.8860759493670886,0.8860759493670886
weekday,50-99,scenario1,4,79,1.0,1.0759493670886076,1.0759493670886076,16.531645569620252,0.8607594936708861,0.8607594936708861,0.8607594936708861
weekday,50-99,scenario2,1,407,1.0,1.375921375921376,1.375921375921376,19.542997542997544,1.0,1.0,1.0
weekday,50-99,scenario2,2,407,1.0,1.2776412776412776,1.2776412776412776,19.542997542997544,1.0,1.0,1.0
weekday,50-99,scenario2,3,407,1.0,1.194103194103194,1.194103194103194,19.542997542997544,1.0,1.0,1.0
weekday,50-99,scenario2,4,407,1.0,1.0884520884520885,1.0884520884520885,19.542997542997544,1.0,1.0,1.0
weekday,50-99,scenario3,1,10,0.4,0.4,0.4,0.7,0.0,0.0,0.0
weekday,50-99,scenario3,2,10,0.2,0.2,0.2,0.5,0.0,0.0,0.0
weekday,50-99,scenario3,3,10,0.1,0.1,0.1,0.3,0.0,0.0,0.0
weekday,50-99,scenario3,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
