field,record_range,context_variant,columns,mean_best_overlap,mean_passing_segments_L1,ambiguous_segment_rate_L1,ambiguous_neuron_rate_L1,selected_compatibility_rate_L1,mean_passing_segments_L2,ambiguous_segment_rate_L2,ambiguous_neuron_rate_L2,selected_compatibility_rate_L2,mean_passing_segments_L3,ambiguous_segment_rate_L3,ambiguous_neuron_rate_L3,selected_compatibility_rate_L3,mean_passing_segments_L4,ambiguous_segment_rate_L4,ambiguous_neuron_rate_L4,selected_compatibility_rate_L4
time,100-149,ALL_CELL_CURRENT,500,11.636,4.034,0.992,0.992,0.992,2.534,0.854,0.854,0.972,1.852,0.644,0.644,0.948,1.41,0.36,0.36,0.926
time,100-149,BURST_ONLY,500,10.242,3.816,0.986,0.986,0.984,2.352,0.83,0.83,0.964,1.752,0.584,0.584,0.942,1.36,0.322,0.322,0.912
time,100-149,CROSS_FIELD_ONLY,500,2.528,2.514,0.856,0.856,0.44,0.55,0.086,0.086,0.258,0.29,0.024,0.024,0.164,0.258,0.014,0.014,0.158
time,100-149,PREDICTED_ONLY,500,1.55,1.416,0.42,0.42,0.768,0.436,0.02,0.02,0.374,0.138,0.0,0.0,0.13,0.05,0.0,0.0,0.046
time,100-149,PREDICTED_PLUS_WINNER,500,9.636,2.66,0.88,0.88,0.934,1.214,0.238,0.238,0.882,0.996,0.05,0.05,0.87,0.98,0.036,0.036,0.868
time,100-149,SAME_FIELD_ONLY,500,10.186,2.846,0.902,0.902,0.978,1.958,0.696,0.696,0.948,1.45,0.396,0.396,0.906,1.148,0.176,0.176,0.886
time,100-149,WINNER_ONLY,500,9.636,2.66,0.88,0.88,0.934,1.214,0.238,0.238,0.882,0.996,0.05,0.05,0.87,0.98,0.036,0.036,0.868
time,100-149,WITHOUT_BURST_ONLY,500,9.636,2.66,0.88,0.88,0.934,1.214,0.238,0.238,0.882,0.996,0.05,0.05,0.87,0.98,0.036,0.036,0.868
time,150-199,ALL_CELL_CURRENT,500,13.418,3.454,0.98,0.98,0.994,2.24,0.772,0.772,0.98,1.666,0.526,0.526,0.958,1.302,0.282,0.282,0.942
time,150-199,BURST_ONLY,500,10.992,3.338,0.958,0.958,0.992,2.152,0.736,0.736,0.976,1.606,0.486,0.486,0.948,1.278,0.264,0.264,0.938
